stkcd,stock,name,year,is_crawled
832533,利美康,贵州利美康外科医院股份有限公司,2016,1
833087,勇辉生态,绵阳市勇辉生态农业股份有限公司,2016,1
836897,合立道,厦门合立道工程设计集团股份有限公司,2015,1
832016,奥伦德,深圳市奥伦德科技股份有限公司,2014,1
430254,中卉生态,上海中卉生态科技股份有限公司,2014,1
830784,威尔凯,威尔凯电气(上海)股份有限公司,2016,1
838025,拜瑞口腔,珠海拜瑞口腔医疗股份有限公司,2015,1
832407,华翼微,山东华翼微电子技术股份有限公司,2014,1
430509,银利智能,中山银利智能科技股份有限公司,2014,1
833178,中美福源,中美福源生物技术(北京)股份有限公司,2015,1
430699,海欣医药,上海海欣医药股份有限公司,2015,1
833926,安集协康,上海安集协康生物技术股份有限公司,2015,1
831341,必由学,大连必由学教育网络股份有限公司,2014,1
832479,长荣农科,山西长荣农业科技股份有限公司,2014,1
832151,听牧肉牛,云南海潮集团听牧肉牛产业股份有限公司,2014,1
430657,楼兰股份,大连楼兰科技股份有限公司,2013,1
430612,雅威特,大连雅威特生物技术股份有限公司,2015,1
834658,华天发展,南京华天科技发展股份有限公司,2016,1
831535,拓斯达,拓斯达,2014,1
830867,全华光电,武汉全华光电科技股份有限公司,2015,1
834270,远大特材,山东远大特材科技股份有限公司,2015,1
831775,巨龙生物,河南巨龙生物工程股份有限公司,2015,1
430540,五龙制动,石家庄五龙制动器股份有限公司,2016,1
832862,惠柏新材,惠柏新材料科技(上海)股份有限公司,2015,1
832568,阿波罗,上海阿波罗机械股份有限公司,2014,1
834347,天畅环保,山东天畅环保科技股份有限公司,2015,1
430156,科曼股份,上海科曼车辆部件系统股份有限公司,2016,1
831646,汉能碳,汉能碳资产管理(北京)股份有限公司,2014,1
833278,北旺农牧,辽宁北旺农牧股份公司,2014,1
834474,里得电科,武汉里得电力科技股份有限公司,2015,1
836785,晶彩光电,福建晶彩光电科技股份有限公司,2015,1
832331,高士达,厦门高士达科技股份有限公司,2016,1
831640,碧沃丰,佛山市碧沃丰生物科技股份有限公司,2016,1
830986,九星娱乐,合肥九星娱乐股份有限公司,2015,1
830863,瑞华天健,北京瑞华天健科技股份有限公司,2013,1
831171,海纳生物,广东海纳川生物科技股份有限公司,2014,1
831508,拓新股份,新乡拓新药业股份有限公司,2014,1
430071,首都在线,北京首都在线科技股份有限公司,2013,1
830999,银橙传媒,上海银橙文化传媒股份有限公司,2013,1
831880,春旺环保,深圳市春旺环保科技股份有限公司,2014,1
833715,凯世光研,深圳凯世光研股份有限公司,2015,1
836346,亿玛在线,北京亿玛在线科技股份有限公司,2015,1
835064,华大股份,广东华大互联网股份有限公司,2015,1
834534,曼恒数字,上海曼恒数字技术股份有限公司,2016,1
831462,友泰电气,浙江友泰电气股份有限公司,2015,1
831643,仙剑文化,上海仙剑文化传媒股份有限公司,2015,1
832099,新疆火炬,新疆火炬燃气股份有限公司,2016,1
430210,舜能润滑,天津舜能润滑科技股份有限公司,2016,1
430253,兴竹信息,北京兴竹同智信息技术股份有限公司,2013,1
831560,盈建科,盈建科,2016,1
831025,万兴隆,佛山市万兴隆再生资源开发股份有限公司,2016,1
832513,汇群中药,广东汇群中药饮片股份有限公司,2014,1
833374,东方股份,浙江衢州东方集团股份有限公司,2015,1
831779,卓越信通,北京卓越信通电子股份有限公司,2016,1
430266,联动设计,武汉联动设计股份有限公司,2015,1
835128,景森设计,景森设计股份有限公司,2015,1
831484,久盛生态,吉林久盛生态环境科技股份有限公司,2014,1
832414,精湛光电,江苏精湛光电仪器股份有限公司,2015,1
832347,太矿电气,太原矿机电气股份有限公司,2014,1
830971,科特环保,苏州科特环保股份有限公司,2015,1
832967,利达发展,利达发展,2015,1
834500,猫诚电商,上海猫诚电子商务股份有限公司,2015,1
832637,华源磁业,上海华源磁业股份有限公司,2014,1
831390,宜都运机,湖北宜都运机机电股份有限公司,2014,1
